"","NR_Name","NR_ID","sex","generation","father","mother","foster","gestational_diet","nursing_diet","weanling_diet","majority_diet","overall_diet","birth_date","death_date","litter_size","litter_order","notes","rbg100","rbg120","rbg140","rbg200","rbg300"
"589","T1488F",1528,"F",12,"T974M","T1163F",NA,"Rod","Rod","Rod","Rod","Rod",2021-08-15,2022-05-12,8,2,"daughter of T1163F",8,24,24,36,36
"590","T1489M",1397,"M",11,"T1066M","T1054F",NA,"Rab","Rab","Rod","Rod","Rod",2021-08-15,2022-04-28,4,3,"onset >40wks, probably 44wks?",40,40,40,40,NA
"591","T148M",310,"M",2,"T7M","T20F",NA,"Rab","Rab","Rab","Rab","Rab",2015-09-06,2017-01-24,4,1,NA,NA,NA,NA,NA,NA
"592","T1490M",1398,"M",11,"T1066M","T1054F",NA,"Rab","Rab","Rod","Rod","Rod",2021-08-15,2022-04-28,4,3,"onset >40wks, probably 44wks?",8,8,8,8,NA
"593","T1491M",1399,"M",11,"T1066M","T1054F",NA,"Rab","Rab","Rod","Rod","Rod",2021-08-15,2022-03-24,4,3,NA,12,16,16,16,32
"594","T1492F",1400,"F",11,"T1066M","T1054F",NA,"Rab","Rab","Rod","Rod","Rod",2021-08-15,2022-05-12,4,3,NA,28,NA,NA,NA,NA
"595","T1493F",1529,"F",12,"T1144M","T1129F",NA,"Rab","Rab","Rod","Rod","Rod",2021-08-16,2021-12-26,5,2,"Daughter of T1129F",NA,NA,NA,NA,NA
"596","T1494F",1530,"F",12,"T1144M","T1129F",NA,"Rab","Rab","Rod","Rod","Rod",2021-08-16,2022-02-24,5,2,"Daughter of T1129F",NA,NA,NA,NA,NA
"597","T1495F",1531,"F",12,"T1144M","T1129F",NA,"Rab","Rab","Rod","Rod","Rod",2021-08-16,2021-12-26,5,2,"Daughter of T1129F",NA,NA,NA,NA,NA
"598","T1496M",1532,"M",12,"T1144M","T1129F",NA,"Rab","Rab","Rod","Rod","Rod",2021-08-16,2022-05-12,5,2,"son of T1144M",36,36,36,36,NA
"599","T1497M",1533,"M",12,"T1144M","T1129F",NA,"Rab","Rab","Rod","Rod","Rod",2021-08-16,2022-04-26,5,2,"son of T1144M",8,8,8,28,36
"600","T1498M",1750,"M",13,"T995M","T1107F",NA,"Rab","Rab","Rod","Rod","Rod",2021-08-16,2022-05-13,5,2,"Resistant line? Still awaiting brother phenotype",8,NA,NA,NA,NA
"601","T1499M",1751,"M",13,"T995M","T1107F",NA,"Rab","Rab","Rod","Rod","Rod",2021-08-16,2022-05-13,5,2,"Resistant line? Still awaiting brother phenotype",32,NA,NA,NA,NA
"602","T149M",311,"M",2,"T7M","T20F",NA,"Rab","Rab","Rab","Rab","Rab",2015-09-06,2017-01-24,4,1,NA,NA,NA,NA,NA,NA
"603","T1500M",1752,"M",13,"T995M","T1107F",NA,"Rab","Rab","Rod","Rod","Rod",2021-08-16,2022-04-26,5,2,"Resistant line? Still awaiting brother phenotype",8,24,24,24,36
"604","T1501F",1753,"F",13,"T995M","T1107F",NA,"Rab","Rab","Rod","Rod","Rod",2021-08-16,2021-12-05,5,2,"Ambiguous date of death; Resistant line? Still awaiting brother phenotype",NA,NA,NA,NA,NA
"605","T1502F",1754,"F",13,"T995M","T1107F",NA,"Rab","Rab","Rod","Rod","Rod",2021-08-16,2022-03-04,5,2,"Resistant line? Still awaiting brother phenotype",NA,NA,NA,NA,NA
"606","T1503M",1534,"M",12,"T973M","T1162F",NA,"Rod","Rod","Rod","Rod","Rod",2021-08-15,2021-09-12,8,2,NA,NA,NA,NA,NA,NA
"607","T1504M",1535,"M",12,"T973M","T1162F",NA,"Rod","Rod","Rod","Rod","Rod",2021-08-15,2021-09-12,8,2,NA,NA,NA,NA,NA,NA
"608","T1505M",1536,"M",12,"T973M","T1162F",NA,"Rod","Rod","Rod","Rod","Rod",2021-08-15,2021-09-12,8,2,NA,NA,NA,NA,NA,NA
